스키마,테이블 물리명,테이블 논리명,키,표준용어명(논리명),영문약어명(물리명),표준도메인명,저장형식,단어 조합,출처
ref,ref.unit,상세위치,PK,호일련번호,ho_sn,일련번호N,bigint,호 + 일련번호,표준단어 조합
ref,ref.unit,상세위치,PK,호접미사일련번호,ho_sfx_sn,일련번호N,bigint,호 + 접미사 + 일련번호,표준단어 조합
ref,ref.unit,상세위치,,동명칭,blk_nm,명V50,varchar(50),동(棟) + 명,표준단어 조합
ref,ref.unit,상세위치,,층명칭,flr_nm,명V50,varchar(50),층 + 명,표준단어 조합
ref,ref.unit,상세위치,,호명칭,ho_nm,명V50,varchar(50),호 + 명,표준단어 조합
ref,ref.unit,상세위치,,지하구분,udgd_se,구분V1,varchar(1),지하 + 구분,표준단어 조합
ref,ref.unit,상세위치,,건물관리번호,bldg_mng_no,번호V25,varchar(25),건물 + 관리 + 번호,공통표준용어
ref,ref.road,도로명,PK,도로명코드,road_nm_cd,코드V12,varchar(12),도로 + 명 + 코드,공통표준용어
ref,ref.road,도로명,,도로명,road_nm,명V80,varchar(80),도로 + 명,공통표준용어
ref,ref.road,도로명,,상위도로명번호,up_road_nm_no,번호V7,varchar(7),상위 + 도로 + 명 + 번호,표준단어 조합
ref,ref.road,도로명,,사용여부,use_yn,여부V1,varchar(1),사용 + 여부,공통표준용어
ref,ref.road,도로명,,폐지관측일자,abl_obsrvn_ymd,일자D8,date,폐지 + 관측 + 일자,표준단어 조합
ref,ref.road_emd,도로명읍면동,PK,도로명코드,road_nm_cd,코드V12,varchar(12),도로 + 명 + 코드,공통표준용어
ref,ref.road_emd,도로명읍면동,PK,읍면동일련번호,emd_sn,일련번호V2,varchar(2),읍면동 + 일련번호,공통표준용어
ref,ref.road_emd,도로명읍면동,,읍면동코드,emd_cd,코드V3,varchar(3),읍면동 + 코드,표준단어 조합
ref,ref.road_emd,도로명읍면동,,읍면동구분,emd_se,구분V1,varchar(1),읍면동 + 구분,표준단어 조합
ref,ref.road_emd,도로명읍면동,,고시일자,ancmnt_ymd,일자D8,date,고시 + 일자,공통표준용어
ref,ref.token,주소표기,PK,토큰,tkn,명V100,varchar(100),토큰,표준단어 조합
ref,ref.token,주소표기,PK,토큰구분,tkn_se,구분V1,varchar(1),토큰 + 구분,표준단어 조합
svc,svc.config,설정,PK,설정식별자,stng_idntfr,식별자N,bigint,설정 + 식별자,표준단어 조합
svc,svc.config,설정,,허용오타횟수,prm_typo_nmtm,수N,smallint,허용 + 오타 + 횟수,표준단어 조합
svc,svc.config,설정,,후보상한,cand_uplmt,수N,smallint,후보 + 상한,표준단어 조합
svc,svc.config,설정,,페이지크기,page_sz,수N,smallint,쪽 + 크기,표준단어 조합
svc,svc.config,설정,,적용일시,aply_dt,일시D,timestamptz,신청 + 일시,공통표준용어
svc,svc.request,정제요청,PK,요청식별자,dmnd_idntfr,식별자N,bigint,요청 + 식별자,표준단어 조합
svc,svc.request,정제요청,,주소값,addr_vl,내용T,text,주소 + 값,표준단어 조합
svc,svc.request,정제요청,,우편번호값,zip_vl,내용T,text,우편번호 + 값,표준단어 조합
svc,svc.request,정제요청,,원본요청,orgnl_dmnd,문서J,jsonb,원본 + 요청,표준단어 조합
svc,svc.request,정제요청,,전략구분,strtg_se,구분V1,varchar(1),전략 + 구분,표준단어 조합
svc,svc.request,정제요청,FK,설정식별자,stng_idntfr,식별자N,bigint,설정 + 식별자,표준단어 조합
svc,svc.request,정제요청,FK,적재실행식별자,load_excn_idntfr,식별자N,bigint,적재 + 실행 + 식별자,표준단어 조합
svc,svc.request,정제요청,,접수일시,rcpt_dt,일시D,timestamptz,접수 + 일시,공통표준용어
svc,svc.result,정제결과,PK,요청식별자,dmnd_idntfr,식별자N,bigint,요청 + 식별자,표준단어 조합
svc,svc.result,정제결과,,건물관리번호,bldg_mng_no,번호V25,varchar(25),건물 + 관리 + 번호,공통표준용어
svc,svc.result,정제결과,,확정주소,cfmtn_addr,내용T,text,확정 + 주소,표준단어 조합
svc,svc.result,정제결과,,확정우편번호,cfmtn_zip,번호V5,varchar(5),확정 + 우편번호,표준단어 조합
svc,svc.result,정제결과,,확정동,cfmtn_blk,명V50,varchar(50),확정 + 동(棟),표준단어 조합
svc,svc.result,정제결과,,확정층,cfmtn_flr,명V50,varchar(50),확정 + 층,표준단어 조합
svc,svc.result,정제결과,,확정호,cfmtn_ho,명V50,varchar(50),확정 + 호,표준단어 조합
svc,svc.result,정제결과,,건물판정,bldg_jgmt,구분V1,varchar(1),건물 + 판정,표준단어 조합
svc,svc.result,정제결과,,상세판정,daddr_jgmt,구분V1,varchar(1),상세주소 + 판정,표준단어 조합
svc,svc.result,정제결과,,후보건수,cand_nocs,수N,integer,후보 + 건수,표준단어 조합
svc,svc.result_reason,정제사유,PK,요청식별자,dmnd_idntfr,식별자N,bigint,요청 + 식별자,표준단어 조합
svc,svc.result_reason,정제사유,PK,사유순번,rsn_sn,순번N,smallint,사유 + 일련번호,표준단어 조합
svc,svc.result_reason,정제사유,,사유코드,rsn_cd,코드V30,varchar(30),사유 + 코드,표준단어 조합
svc,svc.result_reason,정제사유,,원본값,orgnl_vl,내용T,text,원본 + 값,표준단어 조합
svc,svc.result_reason,정제사유,,결과값,rslt_vl,내용T,text,결과 + 값,표준단어 조합
ref,ref.name_map,이름대응,PK,단계,stp,수N,smallint,단계,표준단어 조합
ref,ref.name_map,이름대응,PK,전명,bfr_nm,명V80,varchar(80),전 + 명,표준단어 조합
ref,ref.name_map,이름대응,PK,대응코드,crsp_cd,코드V12,varchar(12),대응 + 코드,표준단어 조합
ref,ref.name_map,이름대응,,현재명,now_nm,명V80,varchar(80),현재 + 명,표준단어 조합
ref,ref.name_map,이름대응,,관측일자,obsrvn_ymd,일자D8,date,관측 + 일자,공통표준용어
ref,ref.name_map,이름대응,,생성출처,crt_src,구분V1,varchar(1),생성 + 출처,표준단어 조합
ref,ref.addr_map,주소대응,PK,전도로명주소관리번호,bfr_road_nm_addr_mng_no,번호V26,varchar(26),전 + 도로 + 명 + 주소 + 관리 + 번호,표준단어 조합
ref,ref.addr_map,주소대응,,현재도로명주소관리번호,now_road_nm_addr_mng_no,번호V26,varchar(26),현재 + 도로 + 명 + 주소 + 관리 + 번호,표준단어 조합
ref,ref.addr_map,주소대응,,건물관리번호,bldg_mng_no,번호V25,varchar(25),건물 + 관리 + 번호,공통표준용어
ref,ref.addr_map,주소대응,,관측일자,obsrvn_ymd,일자D8,date,관측 + 일자,공통표준용어
ref,ref.addr_map,주소대응,,생성출처,crt_src,구분V1,varchar(1),생성 + 출처,표준단어 조합
svc,svc.load_run,적재실행,PK,적재실행식별자,load_excn_idntfr,식별자N,bigint,적재 + 실행 + 식별자,표준단어 조합
svc,svc.load_run,적재실행,,배치구분,btch_se,구분V1,varchar(1),배치 + 구분,표준단어 조합
svc,svc.load_run,적재실행,,자료연월,data_ym,연월V6,varchar(6),자료 + 연월,표준단어 조합
svc,svc.load_run,적재실행,,자료구분,data_se,구분V1,varchar(1),자료 + 구분,표준단어 조합
svc,svc.load_run,적재실행,,호출구분,clot_se,구분V1,varchar(1),호출 + 구분,표준단어 조합
svc,svc.load_run,적재실행,,시작일시,bgng_dt,일시D,timestamptz,시작 + 일시,공통표준용어
svc,svc.load_run,적재실행,,종료일시,end_dt,일시D,timestamptz,종료 + 일시,공통표준용어
svc,svc.load_run,적재실행,,실행결과,excn_rslt,구분V1,varchar(1),실행 + 결과,표준단어 조합
svc,svc.load_file,적재파일,PK · FK,적재실행식별자,load_excn_idntfr,식별자N,bigint,적재 + 실행 + 식별자,표준단어 조합
svc,svc.load_file,적재파일,PK,원천파일명,sou_file_nm,명V50,varchar(50),원천 + 파일 + 명,표준단어 조합
svc,svc.load_file,적재파일,,적재대상구분,load_trgt_se,구분V1,varchar(1),적재 + 대상 + 구분,표준단어 조합
svc,svc.load_file,적재파일,,시도명,ctpv_nm,명V50,varchar(50),시도 + 명,공통표준용어
svc,svc.load_file,적재파일,,제외사유코드,excl_rsn_cd,코드V10,varchar(10),제외 + 사유 + 코드,표준단어 조합
svc,svc.load_file,적재파일,,적재건수,load_nocs,수N,integer,적재 + 건수,공통표준용어
svc,svc.load_file,적재파일,,시작일시,bgng_dt,일시D,timestamptz,시작 + 일시,공통표준용어
svc,svc.load_file,적재파일,,종료일시,end_dt,일시D,timestamptz,종료 + 일시,공통표준용어
svc,svc.load_file,적재파일,,처리결과,prcs_rslt,구분V1,varchar(1),처리 + 결과,표준단어 조합
